"artist","song","earliest","highestRank","year"
"Lil' Duval Featuring Snoop Dogg & Ball Greezy","Smile (Living My Best Life)",2018-09-08,"
56
",2018
"Lin-Manuel Miranda & Ben Platt","Found / Tonight",2018-03-31,"
49
",2018
"Lin-Manuel Miranda Featuring Artists For Puerto Rico","Almost Like Praying",2017-10-28,"
20
",2017
"Linkin Park","In The End",2017-08-12,"
37
",2017
"Linkin Park","Numb",2017-08-12,"
34
",2017
"Linkin Park Featuring Kiiara","Heavy",2017-03-11,"
45
",2017
"Little Big Town","Better Man",2017-01-07,"
34
",2017
"Logic","44 More",2018-03-10,"
 65
",2018
"Logic","BoomTrap Protocol",2018-03-24,"
97
",2018
"Logic","Confessions Of A Dangerous Mind",2019-04-06,"
78
",2019
"Logic","Contra",2018-03-24,"
60
",2018
"Logic","Everybody",2017-04-22,"
59
",2017
"Logic","Keanu Reeves",2019-02-02,"
38
",2019
"Logic","Midnight",2018-03-24,"
74
",2018
"Logic","Overnight",2018-03-24,"
68
",2018
"Logic","Yuck",2018-03-24,"
87
",2018
"Logic & Marshmello","Everyday",2018-03-17,"
29
",2018
"Logic Featuring Alessia Cara & Khalid","1-800-273-8255",2017-05-20,"
13
",2017
"Logic Featuring Big Sean","Wassup",2018-03-24,"
83
",2018
"Logic Featuring Damian Lemar Hudson","Black SpiderMan",2017-05-06,"
87
",2017
"Logic Featuring Ryan Tedder","One Day",2018-08-11,"
80
",2018
"Logic Featuring Wiz Khalifa","Indica Badu",2018-03-24,"
56
",2018
"Logic Featuring Young Sinatra","Warm It Up",2018-03-24,"
98
",2018
"Lord Huron","The Night We Met",2017-05-06,"
84
",2017
"Lorde","Green Light",2017-03-18,"
100
",2017
"Lorde","Liability",2017-04-01,"
78
",2017
"Lorde Featuring Khalid, Post Malone & SZA","Homemade Dynamite",2017-10-07,"
92
",2017
"Loren Allred","Never Enough",2018-01-13,"
88
",2018
"Loud Luxury Featuring Brando","Body",2019-01-12,"
80
",2019
"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","Back To You",2017-08-12,"
40
",2017
"lovelytheband","Broken",2018-07-28,"
29
",2018
"Luis Fonsi & Daddy Yankee Featuring Justin Bieber","Despacito",2017-02-04,"
1
",2017
"Luis Fonsi & Demi Lovato","Echame La Culpa",2017-12-09,"
47
",2017
"Lukas Graham","Love Someone",2019-01-12,"
70
",2019
"Luke Bryan","Fast",2017-02-11,"
58
",2017
"Luke Bryan","Light It Up",2017-09-16,"
57
",2017
"Luke Bryan","Most People Are Good",2018-02-10,"
43
",2018
"Luke Bryan","Sunrise, Sunburn, Sunset",2018-07-14,"
35
",2018
"Luke Bryan","What Makes You Country",2019-01-12,"
54
",2019
"Luke Combs","Beautiful Crazy",2018-05-19,"
23
",2018
"Luke Combs","Hurricane",2017-03-04,"
31
",2017
"Luke Combs","Must've Never Met You",2018-06-16,"
81
",2018
"Luke Combs","One Number Away",2018-03-31,"
34
",2018
"Luke Combs","She Got The Best Of Me",2018-08-25,"
 66
",2018
"Luke Combs","When It Rains It Pours",2017-08-19,"
33
",2017
"Mabel","Don't Call Me Up",2019-04-06,"
92
",2019
"Mac Miller","Come Back To Earth",2018-09-22,"
91
",2018
"Mac Miller","Hurt Feelings",2018-09-22,"
70
",2018
"Mac Miller","Self Care",2018-09-22,"
33
",2018
"Machine Gun Kelly","Rap Devil",2018-09-22,"
13
",2018
"Machine Gun Kelly Featuring Hailee Steinfeld","At My Best",2017-04-08,"
60
",2017
"Machine Gun Kelly x Camila Cabello","Bad Things",2017-01-07,"
10
",2017
"Machine Gun Kelly, X Ambassadors & Bebe Rexha","Home",2017-12-09,"
90
",2017
"Macklemore Featuring Kesha","Good Old Days",2017-10-14,"
48
",2017
"Macklemore Featuring Skylar Grey","Glorious",2017-07-29,"
49
",2017
"Major Lazer Featuring Justin Bieber & MO","Cold Water",2017-01-07,"
34
",2017
"Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj","Run Up",2017-02-18,"
66
",2017
"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo","Know No Better",2017-06-24,"
87
",2017
"Maluma","Felices Los 4",2017-06-03,"
48
",2017
"Maluma X Nego do Borel","Corazon",2018-01-13,"
100
",2018
"Maren Morris","80s Mercedes",2017-01-14,"
74
 ",2017
"Maren Morris","GIRL",2019-02-02,"
61
",2019
"Maren Morris","I Could Use A Love Song",2017-09-02,"
100
",2017
"Maren Morris","Rich",2018-10-06,"
 77
",2018
"Maren Morris Featuring Vince Gill","Dear Hate",2017-10-28,"
91
",2017
"Mariah Carey","All I Want For Christmas Is You",2017-01-07,"
11
",2017
"Mariah Carey Featuring YG","I Don't",2017-02-25,"
89
",2017
"Marian Hill","Down",2017-02-04,"
100
",2017
"Mark Ronson Featuring Miley Cyrus","Nothing Breaks Like A Heart",2018-12-15,"
43
",2018
"Maroon 5","Wait",2017-11-25,"
24
",2017
"Maroon 5 Featuring Cardi B","Girls Like You",2018-06-09,"
 1
",2018
"Maroon 5 Featuring Future","Cold",2017-03-04,"
16
",2017
"Maroon 5 Featuring Kendrick Lamar","Don't Wanna Know",2017-01-07,"
11
",2017
"Maroon 5 Featuring SZA","What Lovers Do",2017-09-16,"
10
",2017
"Marshmello","Alone",2017-01-07,"
28
",2017
"Marshmello & Anne-Marie","Friends",2018-02-24,"
11
",2018
"Marshmello & Bastille","Happier",2018-09-01,"
13
",2018
"Marshmello Featuring CHVRCHES","Here With Me",2019-03-23,"
53
",2019
"Marshmello Featuring Khalid","Silence",2017-09-02,"
30
",2017
"Martin Garrix & Bebe Rexha","In The Name Of Love",2017-01-07,"
26
",2017
"Martin Garrix & Dua Lipa","Scared To Be Lonely",2017-02-18,"
100
",2017
"Martin Garrix Featuring Khalid","Ocean",2018-06-30,"
78
",2018
"Martin Garrix x Troye Sivan","There For You",2017-06-17,"
94
",2017
"Mason Ramsey","Famous",2018-05-12,"
62
",2018
"MAX Featuring gnash","Lights Down Low",2017-10-28,"
20
",2017
"Meek Mill","1942 Flows",2017-08-12,"
83
",2017
"Meek Mill","Almost Slipped",2018-12-15,"
73
",2018
"Meek Mill","Championships",2018-12-15,"
70
",2018
"Meek Mill","Heavy Heart",2017-08-12,"
99
",2017
"Meek Mill","Intro",2018-12-15,"
55
",2018
"Meek Mill","Issues",2017-08-12,"
77
",2017
"Meek Mill","Oodles O' Noodles Babies",2018-12-15,"
85
",2018
"Meek Mill","Respect The Game",2018-12-15,"
57
",2018
"Meek Mill","Trauma",2018-12-15,"
61
",2018
"Meek Mill","Wins & Losses",2017-08-12,"
79
",2017
"Meek Mill Featuring 21 Savage","Pay You Back",2018-12-15,"
78
",2018
"Meek Mill Featuring Cardi B","On Me",2018-12-15,"
30
",2018
"Meek Mill Featuring Chris Brown & Ty Dolla $ign","Whatever You Need",2017-06-24,"
100
",2017
"Meek Mill Featuring Drake","Going Bad",2018-12-15,"
10
",2018
"Meek Mill Featuring Ella Mai","24/7",2018-12-15,"
54
",2018
"Meek Mill Featuring Fabolous & Anuel AA","Uptown Vibes",2018-12-15,"
39
",2018
"Meek Mill Featuring Future, Roddy Ricch & Young Thug","Splash Warning",2018-12-15,"
77
",2018
"Meek Mill Featuring Jeremih & PnB Rock","Dangerous",2018-07-21,"
31
",2018
"Meek Mill Featuring Kodak Black","Tic Tac Toe",2018-12-15,"
72
",2018
"Meek Mill Featuring Lil Uzi Vert","F**k That Check Up",2017-08-12,"
97
",2017
"Meek Mill Featuring Rick Ross & JAY-Z","What's Free",2018-12-15,"
20
",2018
"Meek Mill Featuring Swizz Beatz","Millidelphia",2018-07-21,"
73
",2018
"Meek Mill Featuring Young Thug","We Ball",2017-08-12,"
96
",2017
"Meghan Trainor","No Excuses",2018-03-17,"
46
",2018
"Metro Boomin Featuring 21 Savage","10 Freaky Girls",2018-11-17,"
42
",2018
"Metro Boomin Featuring 21 Savage","Don't Come Out The House",2018-11-17,"
38
",2018
"Metro Boomin Featuring Gunna","Space Cadet",2018-11-17,"
51
",2018
"Metro Boomin Featuring Offset & Drake","No Complaints",2017-07-15,"
100
",2017
"Metro Boomin Featuring Swae Lee & Travis Scott","Dreamcatcher",2018-11-17,"
72
",2018
"Metro Boomin Featuring Travis Scott","Overdue",2018-11-17,"
62
",2018
"Metro Boomin Featuring Travis Scott & Young Thug","Up To Something",2018-11-17,"
100
",2018
"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage","No More",2018-11-17,"
79
",2018
"Michael Jackson","Thriller",2018-11-10,"
31
",2018
"Michael Ray","One That Got Away",2019-03-02,"
100
",2019
"Michael Ray","Think A Little Less",2017-01-14,"
54
",2017
"Midland","Burn Out",2019-01-12,"
63
",2019
"Midland","Drinkin' Problem",2017-05-27,"
45
",2017
"Migos","Auto Pilot",2018-02-10,"
85
",2018
"Migos","Call Casting",2017-02-18,"
62
",2017
"Migos","Emoji A Chain",2018-02-10,"
87
",2018
"Migos","Gang Gang",2018-02-10,"
 73
",2018
"Migos","Get Right Witcha",2017-02-18,"
72
",2017
"Migos","Higher We Go (Intro)",2018-02-10,"
83
",2018
"Migos","Narcos",2018-02-10,"
100
",2018
"Migos","Stir Fry",2018-01-06,"
10
",2018
"Migos","Supastars",2018-02-10,"
53
",2018
"Migos","T-Shirt",2017-02-04,"
19
",2017
"Migos & Marshmello","Danger",2017-12-30,"
82
",2017
"Migos Featuring 21 Savage","BBO (Bad Bitches Only)",2018-02-10,"
48
",2018
"Migos Featuring DJ Khaled","Culture",2017-02-18,"
93
",2017
"Migos Featuring Drake","Walk It Talk It",2018-02-10,"
10
",2018
"Migos Featuring Gucci Mane","CC",2018-02-10,"
96
",2018
"Migos Featuring Gucci Mane","Slippery",2017-02-18,"
29
",2017
"Migos Featuring Lil Uzi Vert","Bad And Boujee",2017-01-07,"
 1
",2017
"Migos Featuring Post Malone","Notice Me",2018-02-10,"
52
",2018
"Migos Featuring Travis Scott","Kelly Price",2017-02-18,"
100
",2017
"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean","White Sand",2018-02-10,"
64
",2018
"Migos, Nicki Minaj & Cardi B","MotorSport",2017-11-18,"
10
",2017
"Miguel Featuring Travis Scott","Sky Walker",2017-09-23,"
29
",2017
"Miley Cyrus","Malibu",2017-05-27,"
10
",2017
"Miley Cyrus","Younger Now",2017-09-09,"
79
",2017
"Miranda Lambert","Tin Man",2017-04-22,"
75
",2017
"Missy Elliott Featuring Lamb","I'm Better",2017-02-18,"
71
",2017
"Mitchell Tenpenny","Drunk Me",2018-08-11,"
100
",2018
"Morgan Evans","Kiss Somebody",2018-07-14,"
53
",2018
"Morgan Wallen","Whiskey Glasses",2019-03-16,"
66
",2019
"Morgan Wallen Featuring Florida Georgia Line","Up Down",2018-04-07,"
49
",2018
"Mustard & Migos","Pure Water",2019-02-02,"
31
",2019
"N*E*R*D & Rihanna","Lemon",2017-11-25,"
36
",2017
"Nas Featuring Kanye West","Cop Shot The Kid",2018-06-30,"
96
",2018
"Nat King Cole","The Christmas Song (Merry Christmas To You)",2017-01-07,"
11
",2017
"Natti Natasha x Ozuna","Criminal",2017-12-23,"
95
",2017
"NAV Featuring Lil Uzi Vert","Wanted You",2017-12-02,"
64
",2017
"NAV Featuring Meek Mill","Tap",2019-04-06,"
89
",2019
"NAV Featuring The Weeknd","Price On My Head",2019-04-06,"
72
",2019
"NAV Featuring Travis Scott","Champion",2018-06-02,"
86
",2018
"NF","Let You Down",2017-11-04,"
12
",2017
"NF","Lie",2018-08-04,"
48
",2018
"NF","No Name",2018-02-03,"
82
",2018
"Niall Horan","Slow Hands",2017-05-20,"
11
",2017
"Niall Horan","This Town",2017-01-07,"
20
",2017
"Niall Horan","Too Much To Ask",2017-10-07,"
66
",2017
"Nick Jonas & Nicki Minaj","Bom Bidi Bom",2017-03-04,"
54
",2017
"Nicki Minaj","Barbie Dreams",2018-08-25,"
18
",2018
"Nicki Minaj","Barbie Tingz",2018-04-21,"
25
",2018
"Nicki Minaj","Chun-Li",2018-04-21,"
10
",2018
"Nicki Minaj","Ganja Burns",2018-08-25,"
60
",2018
"Nicki Minaj","Regret In Your Tears",2017-04-01,"
61
",2017
"Nicki Minaj & Lil Wayne","Changed It",2017-04-01,"
71
",2017
"Nicki Minaj Featuring Ariana Grande","Bed",2018-06-30,"
42
",2018
"Nicki Minaj Featuring Eminem & Labrinth","Majesty",2018-08-25,"
58
",2018
"Nicki Minaj Featuring Lil Wayne","Good Form",2018-12-15,"
60
",2018
"Nicki Minaj Featuring Lil Wayne","Rich Sex",2018-06-23,"
56
",2018
"Nicki Minaj Featuring The Weeknd","Thought I Knew You",2018-08-25,"
98
",2018
"Nicki Minaj X Mike WiLL Made-It","Black Barbies",2017-01-14,"
97
",2017
"Nicki Minaj, Drake & Lil Wayne","No Frauds",2017-04-01,"
14
",2017
"Nicky Jam","El Amante",2017-02-18,"
100
",2017
"Nicky Jam x J Balvin","X",2018-03-17,"
 47
",2018
"Nipsey Hussle Featuring Belly & DOM KENNEDY","Double Up",2019-04-13,"
65
",2019
"Nipsey Hussle Featuring Kendrick Lamar","Dedication",2019-04-13,"
93
",2019
"Nipsey Hussle Featuring Roddy Ricch & Hit-Boy","Racks In The Middle",2019-04-13,"
44
",2019
"Nipsey Hussle Featuring YG","Last Time That I Checc'd",2019-04-13,"
82
",2019
"Noah Cyrus Featuring Labrinth","Make Me (Cry)",2017-01-07,"
46
",2017
"Offset","Lick",2019-03-09,"
86
",2019
"Offset","Red Room",2019-03-02,"
49
",2019
"Offset & Metro Boomin","Nightmare",2017-11-25,"
100
",2017
"Offset & Metro Boomin","Ric Flair Drip",2017-11-18,"
13
",2017
"Offset Featuring Cardi B","Clout",2019-03-09,"
64
",2019
"Offset Featuring J. Cole","How Did I Get Here",2019-03-09,"
65
",2019
"Offset Featuring Travis Scott & 21 Savage","Legacy",2019-03-09,"
49
",2019
"Old Dominion","Hotel Key",2018-07-14,"
 69
",2018
"Old Dominion","Make It Sweet",2019-01-12,"
100
",2019
"Old Dominion","No Such Thing As A Broken Heart",2017-06-17,"
46
",2017
"Old Dominion","Song For Another Time",2017-01-07,"
66
",2017
"Old Dominion","Written In The Sand",2017-12-09,"
51
",2017
"Olivia O'Brien","Hate U Love U",2017-01-14,"
99
",2017
"Opetaia Foa'i & Lin-Manuel Miranda","We Know The Way",2017-01-21,"
98
",2017
"Ozuna","Unica",2018-09-08,"
72
",2018
"Ozuna & Romeo Santos","El Farsante",2018-02-10,"
100
",2018
"Ozuna x Cardi B","La Modelo",2018-01-06,"
52
",2018
"Ozuna x Manuel Turizo","Vaina Loca",2018-09-22,"
100
",2018
"P!nk","A Million Dreams",2018-11-10,"
90
",2018
"P!nk","Beautiful Trauma",2017-12-09,"
78
",2017
"P!nk","Walk Me Home",2019-03-09,"
54
",2019
"P!nk","What About Us",2017-08-26,"
13
",2017
"Panic! At The Disco","High Hopes",2018-06-09,"
 56
",2018
"Panic! At The Disco","Say Amen (Saturday Night)",2018-04-07,"
60
",2018
"Paramore","Hard Times",2017-05-13,"
90
",2017
"Pardison Fontaine Featuring Cardi B","Backin' It Up",2018-10-06,"
40
",2018
"PARTYNEXTDOOR","Not Nice",2017-02-04,"
82
",2017
"Paul McCartney","Wonderful Christmastime",2018-12-29,"
47
",2018
"Pedro Capo X Farruko","Calma",2019-03-23,"
86
",2019
"Pentatonix","Hallelujah",2017-01-07,"
23
",2017
"Pentatonix","Mary, Did You Know?",2017-01-07,"
45
",2017
"Perry Como","(There's No Place Like) Home For The Holidays",2018-12-29,"
32
",2018
"Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra","It's Beginning To Look A Lot Like Christmas",2018-12-29,"
35
",2018
"Pharrell Williams x Camila Cabello","Sangria Wine",2018-06-02,"
83
",2018
"Pinkfong","Baby Shark",2019-01-12,"
32
",2019
"Pitbull x El Chombo x Karol G Featuring Cutty Ranks","Dame Tu Cosita",2018-05-05,"
36
",2018
"Playboi Carti","Magnolia",2017-05-20,"
29
",2017
"Playboi Carti Featuring Lil Uzi Vert","Shoota",2018-05-26,"
46
",2018
"Playboi Carti Featuring Lil Uzi Vert","Wokeuplikethis*",2017-05-20,"
100
",2017
"Plies","Rock",2018-02-03,"
100
",2018
"Plies Featuring Kodak Black","Real Hitta",2017-07-08,"
100
",2017
"PnB Rock","Selfish",2017-01-07,"
51
",2017
"Polo G Featuring Lil Tjay","Pop Out",2019-04-06,"
100
",2019
"Portugal. The Man","Feel It Still",2017-07-08,"
10
",2017
"Post Malone","92 Explorer",2018-05-12,"
40
",2018
"Post Malone","Better Now",2018-05-12,"
10
",2018
"Post Malone","Blame It On Me",2018-05-12,"
47
",2018
"Post Malone","Candy Paint",2017-11-11,"
34
",2017
"Post Malone","Go Flex",2017-10-14,"
100
",2017
"Post Malone","I Fall Apart",2017-10-14,"
16
",2017
"Post Malone","Jonestown (Interlude)",2018-05-12,"
73
",2018
"Post Malone","Otherside",2018-05-12,"
46
",2018
"Post Malone","Over Now",2018-05-12,"
24
",2018
"Post Malone","Paranoid",2018-05-12,"
11
",2018
"Post Malone","Rich & Sad",2018-05-12,"
14
",2018
"Post Malone","Stay",2018-05-12,"
17
",2018
"Post Malone","Sugar Wraith",2018-05-12,"
57
",2018
"Post Malone","Takin' Shots",2018-05-12,"
29
",2018
"Post Malone","Wow.",2019-01-05,"
10
",2019
"Post Malone","Zack And Codeine",2018-05-12,"
23
",2018
"Post Malone & Swae Lee","Sunflower (Spider-Man: Into The Spider-Verse)",2018-11-03,"
1
",2018
"Post Malone Featuring 21 Savage","Rockstar",2017-10-07,"
 5
",2017
"Post Malone Featuring G-Eazy & YG","Same Bitches",2018-05-12,"
20
",2018
"Post Malone Featuring Nicki Minaj","Ball For Me",2018-05-12,"
16
",2018
"Post Malone Featuring Quavo","Congratulations",2017-01-21,"
10
",2017
"Post Malone Featuring Swae Lee","Spoil My Night",2018-05-12,"
15
",2018
"Post Malone Featuring Ty Dolla $ign","Psycho",2018-03-10,"
1
",2018
"Pusha T","If You Know You Know",2018-06-09,"
73
",2018
"Pusha T","Infrared",2018-06-09,"
65
",2018
"Pusha T","The Games We Play",2018-06-09,"
100
",2018
"Pusha T Featuring Kanye West","What Would Meek Do?",2018-06-09,"
75
",2018
"Quavo","Biggest Alley Oop",2018-10-27,"
86
",2018
"Quavo","Huncho Dreams",2018-10-27,"
93
",2018
"Quavo","W O R K I N M E",2018-08-25,"
52
",2018
"Quavo & Lil Yachty","Ice Tray",2018-01-03,"
74
",2018
"Quavo Featuring 21 Savage","Pass Out",2018-10-27,"
61
",2018
"Quavo Featuring Drake","Flip The Switch",2018-10-27,"
48
",2018
"Quavo Featuring Lil Baby","Lose It",2018-10-27,"
100
",2018
"Quavo Featuring Travis Scott","Rerun",2018-10-27,"
88
",2018
"Quavo, Takeoff & Offset","Too Hotty",2017-10-28,"
91
",2017
"Queen","Bohemian Rhapsody",2018-11-17,"
33
",2018
"Queen Naija","Karma",2018-07-14,"
63
",2018
"Queen Naija","Medicine",2018-04-14,"
100
",2018
"Rae Sremmurd","Perplexing Pegasus",2017-08-26,"
84
",2017
"Rae Sremmurd","Swang",2017-01-07,"
26
",2017
"Rae Sremmurd & Juicy J","Powerglide",2018-03-17,"
28
",2018
"Rae Sremmurd & Travis Scott","Close",2018-05-05,"
98
",2018
"Rae Sremmurd Featuring Gucci Mane","Black Beatles",2017-01-07,"
1
",2017
"Rag'n'Bone Man","Human",2017-04-22,"
100
",2017
"Rascal Flatts","Yours If You Want It",2017-06-10,"
71
",2017
"Red Marlow","I Pray",2018-01-03,"
84
",2018
"Reik Featuring Ozuna & Wisin","Me Niego",2018-05-26,"
77
",2018
"RiceGum Featuring Alissa Violet","Its Every Night Sis",2017-09-09,"
80
",2017
"Rich The Kid","Plug Walk",2018-02-24,"
13
",2018
"Rich The Kid","Splashin",2019-01-26,"
80
",2019
"Rich The Kid Featuring Kendrick Lamar","New Freezer",2018-02-10,"
41
",2018
"Rick Ross Featuring Young Thug & Wale","Trap Trap Trap",2017-04-08,"
97
",2017
"Rihanna","Love On The Brain",2017-01-07,"
 8
",2017
"Rihanna","Sex With Me",2017-01-14,"
83
",2017
"Riley Green","There Was This Girl",2019-03-02,"
71
",2019
"Rob $tone Featuring J. Davi$ & Spooks","Chill Bill",2017-01-07,"
29
",2017
"Romeo Santos","Heroe Favorito",2017-03-04,"
77
",2017
"Romeo Santos","Imitadora",2017-08-12,"
91
 ",2017
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual",2017-12-23,"
95
",2017
"Russ","Losin Control",2017-03-18,"
62
",2017
"Russ","What They Want",2017-01-28,"
98
",2017
"Russell Dickerson","Blue Tacoma",2018-09-01,"
52
",2018
"Russell Dickerson","Yours",2017-11-04,"
49
",2017
"Sage The Gemini","Now & Later",2017-02-25,"
93
",2017
"Sam Hunt","Body Like A Back Road",2017-02-18,"
 13
",2017
"Sam Hunt","Downtown's Dead",2018-06-02,"
94
",2018
"Sam Hunt","Drinkin' Too Much",2017-01-28,"
89
",2017
"Sam Smith","Too Good At Goodbyes",2017-09-30,"
 16
",2017
"Sam Smith & Normani","Dancing With A Stranger",2019-01-26,"
15
",2019
"Sam Smith Featuring Logic","Pray",2017-10-28,"
55
",2017
"ScHoolboy Q","Numb Numb Juice",2019-03-30,"
55
",2019
"ScHoolboy Q, 2 Chainz & Saudi","X",2018-02-24,"
49
",2018
"Scotty McCreery","Five More Minutes",2017-12-23,"
44
",2017
"Scotty McCreery","This Is It",2018-12-22,"
100
",2018
"Selena Gomez","Back To You",2018-05-26,"
18
",2018
"Selena Gomez","Bad Liar",2017-06-03,"
20
",2017
"Selena Gomez Featuring Gucci Mane","Fetish",2017-07-29,"
27
",2017
"Selena Gomez X Marshmello","Wolves",2017-11-11,"
20
",2017
"Shakira","Me Enamore",2017-06-03,"
100
",2017
"Shakira Featuring Maluma","Chantaje",2017-01-07,"
51
",2017
"Shakira Featuring Nicky Jam","Perro Fiel",2017-12-16,"
100
",2017
"Shawn Mendes","In My Blood",2018-03-31,"
11
",2018
"Shawn Mendes","Mercy",2017-01-07,"
15
",2017
"Shawn Mendes","There's Nothing Holdin' Me Back",2017-05-13,"
10
",2017
"Shawn Mendes","Treat You Better",2017-01-07,"
 26
",2017
"Shawn Mendes Featuring Khalid","Youth",2018-05-19,"
65
",2018
"Shawn Mendes X Zedd","Lost In Japan",2018-04-07,"
48
",2018
"Sheck Wes","Mo Bamba",2018-09-08,"
10
",2018
"Sia","Helium",2017-03-04,"
71
",2017
"Sia Featuring Kendrick Lamar","The Greatest",2017-01-07,"
22
",2017
"Sia Featuring Sean Paul","Cheap Thrills",2017-01-07,"
26
",2017
"Silk City x Dua Lipa","Electricity",2018-09-22,"
62
",2018
"Ski Mask The Slump God","Faucet Failure",2019-03-09,"
100
",2019
"Ski Mask The Slump God","Foot Fungus",2018-12-15,"
81
",2018
"Ski Mask The Slump God Featuring Juice WRLD","Nuketown",2018-12-15,"
63
",2018
"SOB X RBE","Paramedic!",2018-02-24,"
65
",2018
"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno","Best Friend",2018-01-13,"
100
",2018
"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope","Chillin' Like A Villain",2017-08-26,"
95
",2017
"Starley","Call On Me",2017-01-28,"
65
",2017
"Steve Aoki & Louis Tomlinson","Just Hold On",2017-01-07,"
72
",2017
"Steve Aoki Featuring BTS","Waste It On Me",2018-11-10,"
89
",2018
"Sugarland Featuring Taylor Swift","Babe",2018-05-05,"
72
",2018
"Summer Walker X Drake","Girls Need Love",2019-03-09,"
37
",2019
"Swae Lee Featuring Slim Jxmmi","Guatemala",2018-04-28,"
84
",2018
"SZA","Broken Clocks",2018-03-17,"
100
",2018
"SZA","The Weekend",2017-08-19,"
29
",2017
"SZA Featuring Travis Scott","Love Galore",2017-07-01,"
32
",2017
"TakeOff","Casper",2018-11-17,"
99
",2018
"TakeOff","Last Memory",2018-11-10,"
54
",2018
"Tank","When We",2017-12-09,"
100
",2017
"Tay-K","The Race",2017-08-26,"
44
",2017
"Taylor Swift","...Ready For It?",2017-09-23,"
18
",2017
"Taylor Swift","Call It What You Want",2017-11-25,"
27
",2017
"Taylor Swift","Delicate",2018-03-24,"
12
",2018
"Taylor Swift","Gorgeous",2017-11-11,"
13
",2017
"Taylor Swift","Look What You Made Me Do",2017-09-09,"
1
",2017
"Taylor Swift Featuring Ed Sheeran & Future","End Game",2017-12-09,"
18
",2017
"Tee Grizzley","First Day Out",2017-04-22,"
48
",2017
"The Carters","Apes**t",2018-06-30,"
13
",2018
"The Carters","Boss",2018-06-30,"
77
",2018
"The Carters","Friends",2018-06-30,"
99
",2018
"The Carters","Nice",2018-06-30,"
95
",2018
"The Carters","Summer",2018-06-30,"
84
",2018
"The Chainsmokers","Everybody Hates Me",2018-03-31,"
100
",2018
"The Chainsmokers","Honest",2017-08-19,"
77
",2017
"The Chainsmokers","Paris",2017-02-04,"
10
",2017
"The Chainsmokers","Sick Boy",2018-02-03,"
65
",2018
"The Chainsmokers","The One",2017-04-22,"
78
",2017
"The Chainsmokers & Coldplay","Something Just Like This",2017-03-11,"
10
",2017
"The Chainsmokers Featuring 5 Seconds Of Summer","Who Do You Love",2019-02-23,"
52
",2019
"The Chainsmokers Featuring Daya","Don't Let Me Down",2017-01-07,"
29
",2017
"The Chainsmokers Featuring Emily Warren","Side Effects",2018-08-11,"
66
",2018
"The Chainsmokers Featuring Halsey","Closer",2017-01-07,"
10
",2017
"The Chainsmokers Featuring Kelsea Ballerini","This Feeling",2018-10-06,"
50
",2018
"The Chainsmokers Featuring Phoebe Ryan","All We Know",2017-01-07,"
80
",2017
"The Revivalists","Wish I Knew You",2017-08-19,"
84
",2017
"The Ronettes","Sleigh Ride",2018-12-22,"
26
",2018
"The Weeknd","Call Out My Name",2018-04-14,"
17
",2018
"The Weeknd","Party Monster",2017-01-07,"
36
",2017
"The Weeknd","Privilege",2018-04-14,"
52
",2018
"The Weeknd","Reminder",2017-01-07,"
100
",2017
"The Weeknd","Six Feet Under",2017-01-07,"
94
",2017
"The Weeknd","Try Me",2018-04-14,"
26
",2018
"The Weeknd","Wasted Times",2018-04-14,"
27
",2018
"The Weeknd & Kendrick Lamar","Pray For Me",2018-02-17,"
10
",2018
"The Weeknd Featuring Daft Punk","I Feel It Coming",2017-01-07,"
11
",2017
"The Weeknd Featuring Daft Punk","Starboy",2017-01-07,"
1
",2017
"The Weeknd Featuring Gesaffelstein","Hurt You",2018-04-14,"
43
",2018
"The Weeknd Featuring Gesaffelstein","I Was Never There",2018-04-14,"
35
",2018
"The Weeknd Featuring Kendrick Lamar","Sidewalks",2017-01-07,"
97
",2017
"Thomas Rhett","Life Changes",2018-07-07,"
36
",2018
"Thomas Rhett","Look What God Gave Her",2019-03-16,"
52
",2019
"Thomas Rhett","Marry Me",2017-12-23,"
30
",2017
"Thomas Rhett","Sixteen",2018-11-24,"
42
",2018
"Thomas Rhett","Star Of The Show",2017-01-07,"
 99
",2017
"Thomas Rhett","Unforgettable",2017-08-19,"
47
",2017
"Thomas Rhett Featuring Maren Morris","Craving You",2017-04-22,"
100
",2017
"Tiesto & Dzeko Featuring Preme & Post Malone","Jackie Chan",2018-07-21,"
100
",2018
"Tim McGraw","How I'll Always Be",2017-01-07,"
70
",2017
"Tim McGraw & Faith Hill","Speak To A Girl",2017-04-15,"
61
",2017
"Tim McGraw & Faith Hill","The Rest Of Our Life",2017-12-09,"
98
",2017
"TK Kravitz Featuring Jacqueez","Ocean",2018-07-28,"
76
",2018
"Tory Lanez & Rich The Kid","Talk To Me",2018-11-10,"
43
",2018
"Train","Play That Song",2017-01-07,"
41
",2017
"Travis Scott","5% Tint",2018-08-18,"
36
",2018
